company_name,address,company_type,description
INCENTIVE TRANSPORTATION SERVICES INC,"25876 THE OLD ROAD # 130 Santa Clarita, California 91381 United States",Transportation,TRUCK RENTAL; TRUCK BROKER;
"INCENTIVEAMERICA, INC.","12154 DARNESTOWN ROAD, #624 Gaithersburg, Maryland 20878 United States",Uncategorized,"INCENTIVEAMERICA, INC."
INCREMENTAL DESIGN & CONSTRUCTION GROUP,"32 LENOX ROAD SUITE F9 BROOKLYN, New York 11226 United States",Buliding & Construction,INCREMENTAL DESIGN & CONSTRUCTION GROUP
INDATATECH,"3463 MAGIC DR SUITE 310 San Antonio, Texas 78229-2973 United States",Information Technology,"FIXED ASSET MANAGEMENT, GLOBAL PROCUREMENT, AUDIT AND RECONCILIATION, SUPPLY CHAIN INTEGRATION, & INFORMATION TECHNOLOGY."
Independent Agent of Aflac,"2926 W 25th Street BROOKLYN, New York 11224 United States",Finance,Independent Agent of Aflac offering Voluntary Employee Benefits offered to your employees at no cost to your company
"INDEPENDENT CONSULTANTS TRAINING GROUP, INC.","1100 MERCANTILE LANE, SUITE 115A Largo, Maryland 20774 United States",Uncategorized,"INDEPENDENT CONSULTANTS TRAINING GROUP, INC."
INDEPENDENT MEDIA SALES & SERVICE,"39 COBBLESTONE DR Shoreham, New York 11786 United States",Business Services,INDEPENDENT MEDIA SALES & SERVICE
INDEPENDENT SKILLS HEALTH SYSTEMS INC,"13 FOUR CORNERS ROAD STATEN ISLAND, New York 10304 United States",Business Services,INDEPENDENT SKILLS HEALTH SYSTEMS INC
"INDEPENDENT TECHNICIANS, INC.","9319 EDWAY CIRCLE Randallstown, Maryland 21133 United States",Uncategorized,"INDEPENDENT TECHNICIANS, INC."
"INDIGO ENGINEERING GROUP, LLC","1730 M STREET, NW, SUITE 1030 Washington, District of Columbia 20036 United States",Professional Services,"INDIGO ENGINEERING GROUP, LLC"
Indigofera Beauty Supply,"9722 Groffs Mill Dr #119 Owings Mills, Maryland 21117 United States",Legal,Every product in the Indigofera hair care ritual set is made from plant-based ingredients and infused with essential oils for the ultimate in plant -b
Industrial Bank,"4812 Georgia Avenue, NW Washington, District of Columbia 20011 United States",Finance,Industrial Bank is the oldest and largest African American owned commercial bank in the metropolitan Washington region.
INDUSTRIAL CONSTRUCTION CO.,"121 SPRINGTREE GRV. Cibolo, Texas 78108 United States",Buliding & Construction,"Project Management, Concrete and Metal Building Construction, American Disability Compliance Wk."
"INFECTION CONTROL CONSULTATION SERVICES, INC.","710 COFFREN PLACE Upper Marlboro, Maryland 20774 United States",Uncategorized,"INFECTION CONTROL CONSULTATION SERVICES, INC."
INFINITE ENTERPRISES,"2250 RIDGEPOINT DR APT 1606 Austin, Texas 78754-5222 United States",Finance & Legal,"Other Services, including Legal Services,"
INFINITE PRESS PROMOTIONALS,"7205 INDEPENDENCE LANE Forest Hill, Texas 76140 United States",Uncategorized,"Screen printed/embroidery on promotional items, tee shirts, caps, etc for organizations."
"INFINITE STAFFING, LLC","P. O. BOX 57247 Webster, Texas 77598-7247 United States",Buliding & Construction,"Full service staffing, recruiting and direct placement firm, with more than thirty years of experience in the construction industry. Our company prov"
"Infiniti Steel, Inc.","P.O Box 41627 Providence, Rhode Island 02940 United States",Uncategorized,Structural Steel Erection Specializing in the Installation of Ornamental and Structural Steel.
"INFINITY ADVISORY SERVICES, LLC","23134 TIMBER CREEK LANE Clarksburg, Maryland 20871 United States",Uncategorized,"INFINITY ADVISORY SERVICES, LLC"
INFINITY BUSINESS SOLUTIONS,"7372 WALNUT AVENUE, SUITE A Buena Park, California 90620 United States",Professional Services,"CONSULTANT, NON ENGINEERING; TELEPHONE COMMUNICATIONS; MANAGEMENT & PUBLIC RELATIONS; SERVICES, NEC (NOT ELSEWHERE CLASSIFIED);"
"INFINITY CONSTRUCTION AND TRUCKING, LLC","2714 CANAL STREET, SUITE 314A New Orleans, Louisiana 70119 United States",Buliding & Construction,Building Construction; Trucking
Infinity Designers,"P.O.Box 241864 Charlotte, North Carolina 28224 United States",Uncategorized,Infinity Designers
"INFINITY ENGINEERING CONSULTANTS, LLC","P.O. BOX 792745 New Orleans, Louisiana 70179-2745 United States",Buliding & Construction,Mechanical Engineering; Structural Engineering; Electrical Engineering; Civil Engineering; Management
INFINITY PROTECTION SERVICES,"468 N. CAMDEN DR. #200 BEVERLLY HILLS, California 90210 United States",Professional Services,SECURITY SYSTEMS SERVICES;
"INFINITY SOLUTIONS, INC. (VA)","1629 K STREET NW, SUITE 300 Washington, District of Columbia 20006 United States",Uncategorized,"INFINITY SOLUTIONS, INC. (VA)"
INFINITY TRUCKING,"17729 CAHIR GLEN COVE Pflugerville, Texas 78660 United States",Transportation,HAULING MATERIALS
Infinity Trust Freight Service,"P.O Box 421 Sophia, North Carolina 27350 United States",Transportation,Infinity Trust Freight Service
INFO TECHSYSTEMS CONSULTING INC,"14055 SW 50 LANE Miramar, Florida 33027-0000 United States",Uncategorized,WEB DESIGN NETWORKS HARDWARE AND SOFTWARE TRAINING AND TECHNICAL SUPPORT DATABASE MGMT
Info-Click Network LLC,"2321 W Bonanza Ln Phoenix, Arizona 85085 United States",Professional Services,Internet marketing
"INFOAGE SOLUTIONS, INCORPORATED","6424 SHANNON COURT CLARKSVILLE, Maryland 21029 United States",Uncategorized,"INFOAGE SOLUTIONS, INCORPORATED"
"INFOBIZZ NETWORKING AND CONSULTING, INC.","5309 GEORGIA AVENUE, NW Washington, District of Columbia 20011 United States",Uncategorized,"INFOBIZZ NETWORKING AND CONSULTING, INC."
INFORMATION CONTROL SYSTEMS CORP.,"111 S. CALVERT STREET, SUITE 2700 Baltimore, Maryland 21202 United States",Uncategorized,INFORMATION CONTROL SYSTEMS CORP.
"INFORMATION DESIGN CONSULTANTS, INC","374 W. 12TH STREET SAN PEDRO, California 90731 United States",Professional Services,"CONSULTANT, NON ENGINEERING; COMPUTER; COMPUTER & DATA PROCESSING SERVICES; COMPUTER PROGRAMMING;"
"INFORMATION DYNAMICS INTERNATIONAL, INC.","6411 IVY LANE, SUITE 304 Greenbelt, Maryland 20770 United States",Uncategorized,"INFORMATION DYNAMICS INTERNATIONAL, INC."
"INFORMATION MANAGEMENT RESOURCES, INC.","85 ARGONAUT #200 Aliso Viejo, California 92656 United States",Professional Services,"CONSULTANT, NON ENGINEERING; DESIGN; COMPUTER; COMPUTER PROGRAMMING;"
INFORMATION RESOURCE MANAGEMENT,"PO BOX 168393 Irving, Texas 75016-8393 United States",Business Services,"IT staffing and solutions provider for Desktop, Helpdesk and Network Services"
"INFORMATION SECURITY ENTERPRISE CONSULTING, LLC","628 POND VIEW COURT Westminster, Maryland 21158 United States",Professional Services,"INFORMATION SECURITY ENTERPRISE CONSULTING, LLC"
INFORMATION SYSTEMS CONSULTANTS INC,"338 TIMBER GLENN WAY Indianapolis, Indiana 46241 United States",Business Services,INFORMATION SYSTEMS CONSULTANTS INC
"INFOSCOPE SERVICES, LLC","12944 BIG HORN DRIVE Silver Spring, Maryland 20904 United States",Uncategorized,"INFOSCOPE SERVICES, LLC"
"INFRACON, LLC","660 BLACKBIRD DRIVE Florissant, Missouri 63031 United States",Uncategorized,"INFRACON, LLC"
"INFUSED SOLUTIONS, LLC","22636 DAVIS DRIVE, SUITE 100 STERLING, Virginia 20164 United States",Uncategorized,"INFUSED SOLUTIONS, LLC"
Inga Consulting Engineers,"139 Whitney Street Hartford, Connecticut 06105 United States",Professional Services,Civil and Structural Design Engineering Services.
INGENIUM CORPORATION,"7474 GREEN WAY CENTER DRIVE, SUITE 800 Greenbelt, Maryland 20770 United States",Uncategorized,INGENIUM CORPORATION
Ingrams Transcription Services,"10810 N Tatum Blvd 102 PMB 144 Phoenix, Arizona 85028 United States",Uncategorized,Document Transcription Services
INK SQUID,"13729 VERNAZZA COURT San Diego, California 92130 United States",Business Services,BROKER (FOR FEE ONLY); MISC BUSINESS SERVICES;
INLAND MAINTENANCE INC,"7372 SONOMA CREEK COURT CUCAMONGA, California 91739 United States",Industrial Supplies & Services,JANITORIAL SERVICES; BUILDING MAINTENANCE SERVICES;
"INNOFACE SYSTEMS, INC.","1654 CROFTON BOULEVARD, SUITE 17 Crofton, Maryland 21114 United States",Uncategorized,"INNOFACE SYSTEMS, INC."
"INNOVA SECURITIES, INC.","3703 WOODSMAN COURT SUITLAND, Maryland 20746-1376 United States",Uncategorized,"INNOVA SECURITIES, INC."
Innovation Partners LLC,"2423-A Plantation Center Drive P.O. Box 1300 Matthews, North Carolina 28106 United States",Uncategorized,Innovation Partners LLC
INNOVATION WITH GREEN LLC,"6404 ROCK SPRINGS DR. Arlington, Texas 76001 United States",Home & Garden,Landscaping and litter service serving Dallas/Ft. Worth and surrounding counties.
INNOVATIVE AIR,"4629 MAPLE HILL DR Fort Worth, Texas 76123 United States",Uncategorized,Heating contractors
"INNOVATIVE APPROACH, LLC","2943 NOVEMBER COURT Bowie, Maryland 20716 United States",Uncategorized,"INNOVATIVE APPROACH, LLC"
"INNOVATIVE COMPUTER CONCEPTS & SERVICES, INC.","13001 JACKSON DR., SUITE 1 Fort Washington, Maryland 20744-2952 United States",Information Technology,"INNOVATIVE COMPUTER CONCEPTS & SERVICES, INC."
"INNOVATIVE CONSULTING & TECHNOLOGY, INC.","8300 COOL SPRING LANE Adelphi, Maryland 20783 United States",Uncategorized,"INNOVATIVE CONSULTING & TECHNOLOGY, INC."
INNOVATIVE CONTRACTS CONSULTING LLC,"222 LAS COLINAS BLVD W SUITE 1650 Irving, Texas 75039-5421 United States",Buliding & Construction,"Government Contracts Management: Business, IT, Construction - Software License Negotiations"
Innovative Creations By Kita,"Lithonia, Georgia United States",Professional Services,I take anything you like and turn it into a party theme. I am known as the interior designer of your party.
INNOVATIVE DISTANCE AND MEASUREMENT,"3575 N. BELTLINE ROAD Irving, Texas 75062-7824 United States",Uncategorized,"Land surveying, mapping, environmental, building inspections, contract review, confidentiality agreement mark-up and review."
"INNOVATIVE GLOBAL SOLUTIONS, LLC","2519 BRAER RIDGE DRIVE Katy, Texas 77494 United States",Uncategorized,Telecommunications Consulting Services for Wireline/ Wireless/ Satellite
"INNOVATIVE MASONRY, INC.","P.O. BOX 570143 Dallas, Texas 75357-0143 United States",Uncategorized,MASONRY CONTRACTOR
INNOVATIVE MEDIA SOLUTIONS,"6211 CEDAR POINT PLACE Katy, Texas 77449 United States",Buliding & Construction,Cable splicing; electrical; cable television hookup; communication/telecommunication equipment installations; fire alarms installations.
INNOVATIVE PAYROLL SERVICE,"3027 MARINA BAY DRIVE, SUITE 106 League City, Texas 77573 United States",Uncategorized,"IPS is an outsource payroll company, specializing in payroll processing, tax service, back office support, bill & administration to small to large bus"
INNOVATIVE PAYROLL SERVICE INC.,"3027 MARINA BAY DR STE 106 League City, Texas 77573-2772 United States",Finance & Legal,"Multi state payroll processing, bookkeeping, payroll tax filing, accounting, billing and invoicing, human resources, back office support."
"INNOVATIVE PBX SERVICES, INC.","PO BOX 971363 El Paso, Texas 79997-1363 United States",Uncategorized,"Network Intallation, Cat5E, Cat6, Cat6e, Cat6A-Cat7,25 pair to 500 Pair feeder cables, Fiber Optics SM & MM 2 - 144 strand, LAN, WAN, Voice Mail, Auto"
Innovative Systems Group,"8601 Six Forks Road Suite #400 Raleigh, North Carolina 27615 United States",Uncategorized,Innovative Systems Group
"INNOVATIVE TECHNICAL SERVICES, LLC","400 POYDRAS STREET, #1330 New Orleans, Louisiana 70130 United States",Professional Services,Environmental Engineering
"INROADS CAPITAL MANAGEMENT, LLC","643 CAPITOL ST Houston, Texas 77002 United States",Uncategorized,An independent investment management organization provides large cap equity portfolio management for institutional and individual investors.
INSERVICE ENTERPRISE LLC,"168 AUDUBON AVENUE Mount Vernon, New York 10552 United States",Business Services,INSERVICE ENTERPRISE LLC
INSIDE CABLE INC,"32 WILLIAMS ROAD, FL #1 Lexington, Massachusetts 2420 United States",Business Services,INSIDE CABLE INC
"INSIDE SOURCE MEDIA, INC","2503 NW INVERNESS DR. Hillsboro, Oregon 97124 United States",Professional Services,ADVERTISING AGENCIES
INSIGHT PR CONSULTING GROUP LLC,"P.O. BOX 130793 Houston, Texas 77219 United States",Professional Services,"Public Relations, Marketing Strategies, Special Events, Project Mgmt., Training Development, Corporate & Foundation Fundraising, Alumni Relations, & E"
INSIGHT THERAPEUTIC CENTER,"PO BOX 331581 FT WORTH, Texas 76163-1581 United States",Uncategorized,The services I provide are mental health services.
INSITE DESIGN GROUP,"13107 PURCHE AVENUE Gardena, California 90249 United States",Uncategorized,INTERIOR DECORATING & DESIGN;
"INSPECTOR 12 SERVICES, LLC","937 N. BROAD New Orleans, Louisiana 70119 United States",Home & Garden,Mold Remediation; Pest and Termite Exterminating
"INSPECTRUM TECHNOLOGIES, LLC","501 SUNBROOK ROAD Reisterstown, Maryland 21136 United States",Uncategorized,"INSPECTRUM TECHNOLOGIES, LLC"
INSPIRE ENTERPRISE INC,"116-48 218TH STREET CAMBRIA HEIGHTS, New York 11411 United States",Business Services,INSPIRE ENTERPRISE INC
"INSPIRED INNOVATIONS, INC.","8405 SHILLELAGH DRIVE Severn, Maryland 21144 United States",Uncategorized,"INSPIRED INNOVATIONS, INC."
Inspired Paint Contracting Inc,"801 N Pine Hills Rd Orlando, Florida 32808- United States",Buliding & Construction,Painting Contractor
INSPIRIUM CONSULTING,"P O BOX 942113 Plano, Texas 75094 United States",Business Services,Information Technology Services; Including Staffing Services.
INSTANT ASSISTANT,"36-4 WOODLAKE ROAD Albany, New York 12203 United States",Business Services,INSTANT ASSISTANT
Instinct Style Boutique,"950 Eagles Landing Pkwy Suite 252 Stockbridge, Georgia 30281 United States",Apparel & Accessories,Instinct Style is an online boutique geared toward the fashionable woman with natural style.
"INSTITUTE FOR HUMAN AND BUSINESS DEVELOPMENT, INC.","719 LENSTROM FRIEND COURT Catonsville, Maryland 21228 United States",Uncategorized,"INSTITUTE FOR HUMAN AND BUSINESS DEVELOPMENT, INC."
"INSTITUTE FOR HUMAN DEVELOPMENT, INC.","12101 LIHOU COURT Fort Washington, Maryland 20744 United States",Uncategorized,"INSTITUTE FOR HUMAN DEVELOPMENT, INC."
INSTITUTE FOR PSYCHOLOGICAL SERVICES,"1821 OAKDALE ST. Houston, Texas 77004 United States",Uncategorized,"Individual, family and group psychotherapy, assessments, training to provide lifestyle changes."
"INSURANCE SOLUTIONS ASSOCIATES, INC.","8181 PROFESSIONAL PLACE, SUITE 115 LANDOVER, Maryland 20785 United States",Finance,"INSURANCE SOLUTIONS ASSOCIATES, INC."
INSURE A TEMP INC,"330 N ANDREWS AVENUE SUITE 100 Fort Lauderdale, Florida 33301- United States",Business Services,PERMANENT AND TEMPORARY STAFFING SERVICES
"INTEG ENTERPRISES, LLC","PO BOX 71355 Bakersfield, California 93387 United States",Buliding & Construction,CONSTRUCTION MANAGEMENT; Construction Management - Commercial and Institutional Building Construction; Construction Management - Institutional Buildin
INTEGHEARTY AMBULANCE SERVICES LLC,"1516 OSPREY DRIVE SUITE 206 DeSoto, Texas 75115 United States",Uncategorized,Ambulance Services
"INTEGRA SHOW SERVICES, INC.","5803 LAKE PLACID DR. Dallas, Texas 75232-2341 United States",Uncategorized,"PROVIDE KEY SERVICES FOR EVENTS SUCH AS EXHIBIT SETUP, AUDIO VISUAL & LIGHTING"
INTEGRAL HYGIENIC SOLUTIONS,"14654 LYONS VALLEY Jamul, California 91935 United States",Real Estate & Insurance ,"LAUNDRY, CLEANING, & GARMENTS; JANITORIAL SERVICES;"
"Integrated Capital Strategies, LLC (ICS)","2100 Rexford Road Suite 100 Charlotte, North Carolina 28211 United States",Uncategorized,"Integrated Capital Strategies, LLC (ICS)"
INTEGRATED CONSTRUCTION MANAGEMENT INC,"780 SUNRISE HIGHWAY West Babylon, New York 11704 United States",Buliding & Construction,INTEGRATED CONSTRUCTION MANAGEMENT INC
"INTEGRATED CRYPTOLOGIC SOLUTIONS, LLC","14504 GREENVIEW DRIVE, SUITE 202 Laurel, Maryland 20708 United States",Uncategorized,"INTEGRATED CRYPTOLOGIC SOLUTIONS, LLC"
"INTEGRATED DEFENSE APPLICATIONS, LLC","6070 GATEWAY BLVD E 100 El Paso, Texas 79905 United States",Uncategorized,Provide operational & interoperational evauls & analysis; test program managament & analysis; modeling simulation accreditation;IT services
"Integrated Design and Construction, LLC","60 Connolly Parkway-11B Suite 110 Hamden, Connecticut 06514 United States",Buliding & Construction,Architectural Services and Sustainable Design.
INTEGRATED FOODS LLC,"2591 DALLAS PARKWAY SUITE 103 Frisco, Texas 75034 United States",Food & Dining,Wholesale Trade Agents and Brokers
"INTEGRATED HEALTHCARE AUDITING AND SERVICES, INC.","14502 GREENVIEW DRIVE, SUITE 410 Laurel, Maryland 20708 United States",Uncategorized,"INTEGRATED HEALTHCARE AUDITING AND SERVICES, INC."
"INTEGRATED HOLISTIC DESIGN, LLC","180 WEST AIRPORT ROAD Lititz, Pennsylvania 17543 United States",Uncategorized,"INTEGRATED HOLISTIC DESIGN, LLC"
"INTEGRATED LEADERSHIP CONCEPTS, INC.","3801 HILLSIDE TRL Grapevine, Texas 76051-7127 United States",Uncategorized,"At ILC, Inc. we consult and coach executives, create and deliver leadership development workshops and tools to meet organizational change objectives."
"INTEGRATED LOGISTICAL SUPPORT, INC.","1100 POYDRAS ST., SUITE 2775 New Orleans, Louisiana 70163 United States",Buliding & Construction,Management; Planning; Computer Analysis; Supportive Services; System Design; Construction Management
"INTEGRATED MANAGEMENT SERVICES, PA","126 EAST AMITE STREET Jackson, Mississippi 39201 United States",Professional Services,"IMS provides consulting, engineering, technical, management and operations services to clients on a wide variety of projects and engagements. These di"
INTEGRATED NETWORK SOLUTIONS INC,"PO BOX 750492 Houston, Texas 77275-0492 United States",Finance,Wired and Wireless Telecommunications/Information System design and installation. Microwave tower and equipment installation and maintenance. Certifie
INTEGRATED PROJECT SYSTEMS LLC,"1008 JEFFERSON AVENUE APT 201 Miami Beach, Florida 33139-0000 United States",Uncategorized,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES
INTEGRATED TECHNOLOGY GROUP,"1755 GEARY BLVD, SUITE 111 San Francisco, California 94115 United States",Professional Services,"CONSULTANT, NON ENGINEERING; BUSINESS ADMINISTRATION; MANAGEMENT INFORMATION SYSTEMS; MISC BUSINESS SERVICES; MANAGEMENT & PUBLIC RELATIONS;"
INTEGRATED TECHNOLOGY SUPPORT SERVICES I,"186-16 JORDAN AVENUE SAINT ALBANS, New York 11412 United States",Business Services,INTEGRATED TECHNOLOGY SUPPORT SERVICES I
"INTEGRATION CONCEPTS, LLC","PO BOX 140723 Austin, Texas 78714-0723 United States",Transportation,"Integrated civil engineering solutions and IT management consulting in transportation, public works and land development. Services include constructio"
"INTEGRATIVE CONSULTING SERVICES, LLC","13911 HIGHSTREAM PLACE Germantown, Maryland 20874 United States",Uncategorized,"INTEGRATIVE CONSULTING SERVICES, LLC"
"INTEGRITY AXIS, INC.","12138 CENTRAL AVENUE, #491 Mitchellville, Maryland 20721 United States",Uncategorized,"INTEGRITY AXIS, INC."
"INTEGRITY BUSINESS SOLUTIONS, INC.","9470 ANNAPOLIS ROAD, SUITE 222 LANHAM, Maryland 20706 United States",Uncategorized,"INTEGRITY BUSINESS SOLUTIONS, INC."
INTEGRITY ENTERPRISES,"5841 JOHNSTON PLACE Rancho Cucamonga, California 91739 United States",Professional Services,DETECTIVE & ARMORED CAR SERVICES;
INTEGRITY HEALTHCARE MARKETING INC (IHM),"1655 FLATBUSH AVENUE SUITE b1508 BROOKLYN, New York 11210 United States",Business Services,INTEGRITY HEALTHCARE MARKETING INC (IHM)
INTEGRITY JANITORIAL SERVICE CORP,"15025 MONROE STREET Miami, Florida 33176-0000 United States",Real Estate & Insurance ,JANITORIAL SERVICES
INTEGRITY NATIONAL CORPORATION,"15400 CALHOUN DRIVE, SUITE 190 Rockville, Maryland 20855 United States",Uncategorized,INTEGRITY NATIONAL CORPORATION
INTEGRITY SPECIAL INSPECTIONS INC,"14 WALL STREET, 20TH FL New York, New York 10005 United States",Buliding & Construction,INTEGRITY SPECIAL INSPECTIONS INC
Integrity System Solutions LLC,"PO Box 79081 Greensboro, North Carolina 27417 United States",Uncategorized,Integrity System Solutions LLC
INTEGRITY TITLE & ESCROW CO.,"8 GREENSPRING VALLEY ROAD Owings Mills, Maryland 21117 United States",Uncategorized,INTEGRITY TITLE & ESCROW CO.
INTELLECTUAL CONCEPTS LLC,"3300 BUCKEYE ROAD SUITE 440 Atlanta, Georgia 30341 United States",Uncategorized,MANAGEMENT INFORMATION SYSTEMS; COMPUTER; Computer-aided Design & DRAFTING (CADD);
"INTELLECTUAL CONCEPTS, LLC","227 SANDY SPRINGS PLACE, NE, SUITE D274 Sandy Springs, Georgia 30328 United States",Uncategorized,"INTELLECTUAL CONCEPTS, LLC"
"INTELLIBIT SYSTEMS, LLC","5523 RESEARCH PARK DRIVE, SUITE 110 Baltimore, Maryland 21228 United States",Uncategorized,"INTELLIBIT SYSTEMS, LLC"
INTELLIGENT CONTROL SYSTEMS +,"6705 HWY 290 W. STE 502-209 Austin, Texas 78735 United States",Professional Services,"AUDIO-VIDEO SYSTEM DESIGN, ENGINEERING, CONSULTING, AND CONTROL SYSTEMS PROGRAMMING"
INTELLIGENT FISCAL OPTIMAL SOLUTIONS,"6030 DAYBREAK CIRCLE, SUITE A-150/119 CLARKVILLE, Maryland 21029 United States",Uncategorized,INTELLIGENT FISCAL OPTIMAL SOLUTIONS
IntelPro Consulting,"3793 Fern Hollow Road #102 Memphis, Tennessee 38125 United States",Uncategorized,IntelPro Consulting
INTER-CONTINENTAL MANAGEMENT SYSTEMS INC,"542 THIRD STREET Albany, New York 12206 United States",Business Services,INTER-CONTINENTAL MANAGEMENT SYSTEMS INC
INTERCEPT SECURITY,"660 ADARE WAY Galt, California 95632 United States",Professional Services,SECURITY GUARD/GUARD PATROL SERVICES;
INTERDYNAMICS INCORPORATED,"4601 FORBES BOULEVARD, SUITE 200 LANHAM, Maryland 20706 United States",Uncategorized,INTERDYNAMICS INCORPORATED
"INTERFACE FIRE ALARM & ELECTRICAL SERVICES, LLC","1736 MASSACHUSETTS AVENUE, S.E. Washington, District of Columbia 20003 United States",Buliding & Construction,"INTERFACE FIRE ALARM & ELECTRICAL SERVICES, LLC"
"INTERIM BUSINESS SOLUTIONS, LLC","103 BEECHDALE COURT, SUITE 100 Accokeek, Maryland 20607 United States",Uncategorized,"INTERIM BUSINESS SOLUTIONS, LLC"
INTERIOR AFFAIRS,"11844 BANDERA, STE 259 Helotes, Texas 78023 United States",Uncategorized,interior decorating services for multi-family housing as well as residential and commercial
INTERIOR COOLING MECHANICAL INC,"545 8TH AVENUE SUITE 401 New York, New York 10018 United States",Buliding & Construction,INTERIOR COOLING MECHANICAL INC
"INTERMEDICAL ASSOCIATES, LLC","P.O. BOX 1874 Ellicott City, Maryland 21041-1874 United States",Uncategorized,"INTERMEDICAL ASSOCIATES, LLC"
INTERMODAL LOGISTICS CONSULTING INC.,"283 HEATHERWOOD DR. Winston Salem, North Carolina 27107 United States",Transportation,"CONSULTANT,MASS TRANSIT/TRANSPORTATION; RESEARCH & TESTING SERVICES; Market Research & FOCUS Groups; Transportation Planning;"
INTERNATIONAL BLOWE GLAZING INC,"2182 NW 18 AVENUE Pompano Beach, Florida 33060- United States",Uncategorized,GLASS AND GLAZING CONTRACTOR
INTERNATIONAL DESIGN SERVICE INC,"242-14 136TH AVENUE JAMAICA, New York 11422 United States",Business Services,INTERNATIONAL DESIGN SERVICE INC
INTERNATIONAL DOCUMENT SECURITIES,"9101 BENGAL ROAD Randallstown, Maryland 21133 United States",Uncategorized,INTERNATIONAL DOCUMENT SECURITIES
INTERNATIONAL ENERGIES & COMMODITIES CORP,"6145 WEDGEWOOD DRIVE, SUITE 102 Fort Worth, Texas 76133 United States",Uncategorized,SAND & GRAVEL SUPPLIER; ASPHALT SUPPLIER; PETROLEUM REFINING; PETROLEUM & COAL PRODUCTS MANUFACTURING; PETROLEUM & PETROLEUM PRODUCTS; Lubricants;
INTERNATIONAL ENERGIES AND,"COMMODITIES CORPORATION 6145 WEDGWOOD DR., STE 102 Fort Worth, Texas 76133-2768 United States",Uncategorized,Automobile Petroleum (Unleaded and Premium Fuels) and Aviation Petroleum (Diesel Fuel-D2 and Jet Fuel JP54/JetA. etc.)
INTERNATIONAL FINANCIAL SOLUTIONS INC,"303 PERIMETER CENTER N SUITE 300 Atlanta, Georgia 30346 United States",Business Services,INTERNATIONAL FINANCIAL SOLUTIONS INC
INTERNATIONAL LOGISTICS UNLIMITED,"1063 E. 16TH ST. Long Beach, California 90813 United States",Uncategorized,BROKER (FOR FEE ONLY);
"INTERNATIONAL MARBLE & GRANITE, LLC","7501 FORBES BOULEVARD, #104 LANHAM, Maryland 20706 United States",Uncategorized,"INTERNATIONAL MARBLE & GRANITE, LLC"
INTERNATIONAL UNIFIED WORKFORCE INC,"280 PARKHILL AVENUE SUITE LT STATEN ISLAND, New York 10304 United States",Buliding & Construction,INTERNATIONAL UNIFIED WORKFORCE INC
"INTERNATIONAL WORD PROCESSING SERVICES, INC.","8504 FIRESTONE BLVD., #353 Downey, California 90241 United States",Information Technology,"COMPUTER & DATA PROCESSING SERVICES; MISC BUSINESS SERVICES; SERVICES, NEC;"
"INTERPRETERS UNLIMITED CHARLOTTE, LLC","360 North Caswell Road 203 Charlotte, North Carolina 28204 United States",Uncategorized,"INTERPRETERS UNLIMITED CHARLOTTE, LLC"
"INTERSERVE GROUP, LLC","7500 GREENWAY CENTER DRIVE Greenbelt, Maryland 20770 United States",Uncategorized,"INTERSERVE GROUP, LLC"
INTERSTATE DEVELOPMENT GROUP INC,"2315 CLEMENTINE STREET BRONX, New York 10466 United States",Business Services,INTERSTATE DEVELOPMENT GROUP INC
"Interstate Development Group, Inc.","2315 Clementine Street BRONX, New York 10466 United States",Buliding & Construction,Hauling of Construction Materials.
INTERSTATE EXPRESS DELIVERY SERVICE,"9903 PLOVER STREET Austin, Texas 78753 United States",Uncategorized,DELIVERY SERVICE
"Interstate Interiors, LLC","PO Box 31605 Raleigh, North Carolina 27622 United States",Uncategorized,"Interstate Interiors, LLC"
INTOUCH BUSINESS SERVICES,"6358 TEAL RUN DRIVE Houston, Texas 77035-2028 United States",Health,"Secretarial, typing, administrative support, data entry, wordprocessing, general office, envelope assembly, personal care and certified nursing assist"
INVENTIVE BUILDERS & GENERAL CONTRACTORS,"825 BOYNTON AVENUE SUITE 13H BRONX, New York 10473 United States",Buliding & Construction,INVENTIVE BUILDERS & GENERAL CONTRACTORS
"INVESTED MANAGEMENT, INC.","810 N. LUZERNE AVENUE Baltimore, Maryland 21205 United States",Uncategorized,"INVESTED MANAGEMENT, INC."
INVESTMENT MANAGEMENT ENTERPRISE,"1010 VERMONT AVENUE, NW, SUITE 200 Washington, District of Columbia 20005 United States",Uncategorized,INVESTMENT MANAGEMENT ENTERPRISE
INVICTUS ENVIRONMENTAL SAFETY SOLUTIONS,"34875 POORROY RD SUITE 1403 Winchester, California 92596 United States",Professional Services,"SAFETY; CONSULTANT, NON ENGINEERING; ENVIRONMENTAL QUALITY;"
INVICTUS SOLUTIONS,"13747 MONFORT DRIVE STE. 260 Dallas, Texas 75240 United States",Information Technology,INFORMATION TECHNOLOGY CONSULTING.
"INVISION PROS, INC.","7447 HARWIN DR STE 217 Houston, Texas 77036-2028 United States",Transportation,Provide non-emergency medical transportation
INXELERATE SOLUTIONS LLC,"1326 MESQUITE ROAD Cedar Park, Texas 78613 United States",Finance & Legal,"Other Services, including Legal Services,"
"IP GROUP, LLC, THE","7730 CYPRESS STREET Laurel, Maryland 20707 United States",Uncategorized,"IP GROUP, LLC, THE"
